figure,input_role,original_path,registered_path,bytes,sha256,copy_status,access
S9,"five-SOC species means, ranges and propagated block-stability values",MD/carrier_diffusivity_si_figure/R197_FigS_md_carrier_diffusivity_source_summary.csv,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_md_ladder.csv,1837,01DE06CA4D66719E5D614A66F3067B0916390A316C3F17C1F8A5C4E08DC832EB,byte-identical frozen copy; original source reverified,read-only
S9,registered charge-parameterization carrier-range summary,MD/carrier_diffusivity_si_figure/R197_FigS_md_carrier_diffusivity_summary.json,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_md_summary.json,973,86243B41D8B5164817BC25C39CAA18E8D09161FF1CEDF4A2C26A13D865A2C79C,byte-identical frozen copy; original source reverified,read-only
S9,MD system definition and bounded-prior claim boundary,MD/workspace_mirror/outputs/md_transport_soc_series/README.md,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_MD_README.md,9297,4186EA28B523A745A4CE674D9CD42AE7015215A75288B33747934EE86D21A900,byte-identical frozen copy; original source reverified,read-only
S9,"temperature, SOC grid, production length and force-field notes",MD/workspace_mirror/outputs/md_transport_soc_series/inputs/soc_series_config.yaml,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_soc_series_config.yaml,2329,CA3EF0C933309A94899A2132CEE703413AAA6A032146DCE8250C6A27AF717F7F,byte-identical frozen copy; original source reverified,read-only
S9,registered completion audit for ten long production cases,MD/workspace_mirror/outputs/md_transport_soc_series/results/completion_audit.md,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_completion_audit.md,336,C20E068F58D95E2F61A4A6B3F178936FAFF02AC5EB9D1A8C654BE96E9018F6D2,byte-identical frozen copy; original source reverified,read-only
S9,status record showing optional viscosity replicas are not the diffusion uncertainty,MD/workspace_mirror/outputs/md_transport_soc_series/results/viscosity_replicate_results.json,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_viscosity_replicate_results.json,13968,52CDC9EF4F22CBED0FDD6E6403CE1B785CDA48893BAE4F43E5BAA02862F661EC,byte-identical frozen copy; original source reverified,read-only
S7-S9,exact manuscript font file,D:/Program Files/texlive/2024/texmf-dist/fonts/opentype/public/tex-gyre/texgyretermes-regular.otf,not copied; loaded directly from TeX Live,140932,CC3FE7C707B81428D23D54DF3EADD9228A2BF6A4D43125D94DF56F5F63134659,direct exact-OTF registration,read-only
S7-S9,exact manuscript font file,D:/Program Files/texlive/2024/texmf-dist/fonts/opentype/public/tex-gyre/texgyretermes-bold.otf,not copied; loaded directly from TeX Live,139480,2FB3E952065FA153C7E4E64E04B98B9D79225739B6025AA3F0F0782D299FF61E,direct exact-OTF registration,read-only
S7-S9,exact manuscript font file,D:/Program Files/texlive/2024/texmf-dist/fonts/opentype/public/tex-gyre/texgyretermes-italic.otf,not copied; loaded directly from TeX Live,141324,6DD103A1672E50568CD2F8A706CCD48443D44D7D073A59D2286F4E6F746575D6,direct exact-OTF registration,read-only
S7-S9,exact manuscript font file,D:/Program Files/texlive/2024/texmf-dist/fonts/opentype/public/tex-gyre/texgyretermes-bolditalic.otf,not copied; loaded directly from TeX Live,144180,1BF6AF99CB0E26C12951317032D79B96AE009551E59CCF02A5B24F325ECFEC87,direct exact-OTF registration,read-only
